historical_agent_name,historical_file,catalog_agent_id,catalog_canonical_name,surface,domain,family,historical_prompt_status,migration_decision,prompt_reusability,refoundation_alignment,contradictions,obsolete_sections,missing_sections,security_risks,authority_risks,tooling_assumptions,memory_assumptions,runtime_assumptions,recommended_action,target_wave,review_status,notes
Especialista en Ética y Cumplimiento IA,25_ESPECIALISTA_EN_ETICA_Y_CUMPLIMIENTO_IA.md,AG-TRV-0005,historical.especialista_en_tica_y_cumplimiento_ia,TRANSVERSAL,historical_capabilities,especialista_en_tica_y_cumplimiento_ia,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_2.",WAVE_2,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Seguridad LLM / Prompt Injection,26_ESPECIALISTA_EN_SEGURIDAD_LLM_PROMPT_INJECTION.md,AG-DEV-0013,historical.especialista_en_seguridad_llm_prompt_injection,DEVELOPMENT,historical_capabilities,especialista_en_seguridad_llm_prompt_injection,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.",Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes model, agent or evaluation tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Costes IA y Optimización de Tokens,27_ESPECIALISTA_EN_COSTES_IA_Y_OPTIMIZACION_DE_TOKENS.md,AG-DEV-0014,historical.especialista_en_costes_ia_y_optimizaci_n_de_tokens,DEVELOPMENT,historical_capabilities,especialista_en_costes_ia_y_optimizaci_n_de_tokens,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Catálogo de Agentes y PromptOps,28_ESPECIALISTA_EN_CATALOGO_DE_AGENTES_Y_PROMPTOPS.md,AG-DEV-0015,historical.especialista_en_cat_logo_de_agentes_y_promptops,DEVELOPMENT,historical_capabilities,especialista_en_cat_logo_de_agentes_y_promptops,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes model, agent or evaluation tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Flutter Core Developer,29_FLUTTER_CORE_DEVELOPER.md,AG-DEV-0016,historical.flutter_core_developer,DEVELOPMENT,historical_capabilities,flutter_core_developer,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes code, Flutter and design tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Frontend Feature Developer,30_FRONTEND_FEATURE_DEVELOPER.md,AG-DEV-0017,historical.frontend_feature_developer,DEVELOPMENT,historical_capabilities,frontend_feature_developer,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes code, Flutter and design tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Developer de Componentes Reutilizables,31_DEVELOPER_DE_COMPONENTES_REUTILIZABLES.md,AG-DEV-0018,historical.developer_de_componentes_reutilizables,DEVELOPMENT,historical_capabilities,developer_de_componentes_reutilizables,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes code, Flutter and design tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Backend/Supabase Developer,32_BACKEND_SUPABASE_DEVELOPER.md,AG-DEV-0019,historical.backend_supabase_developer,DEVELOPMENT,historical_capabilities,backend_supabase_developer,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.","Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes backend, database or platform tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Membresías y Pagos,33_ESPECIALISTA_EN_MEMBRESIAS_Y_PAGOS.md,AG-ADM-0003,historical.especialista_en_membres_as_y_pagos,ADMINISTRATION,historical_capabilities,especialista_en_membres_as_y_pagos,PROMPT_CREATED,RECLASSIFY,PARTIALLY_REUSABLE,REQUIRES_RECLASSIFICATION,Historical surface classification conflicts with the approved Re-foundation ownership model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.","Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Reclassify ownership first, then extract reusable role content into a new layered prompt during WAVE_6.",WAVE_6,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
QA Engineer,34_QA_ENGINEER.md,AG-DEV-0020,historical.qa_engineer,DEVELOPMENT,historical_capabilities,qa_engineer,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
DevOps / Infraestructura / Release Engineering,35_DEVOPS_INFRAESTRUCTURA_RELEASE_ENGINEERING.md,AG-DEV-0021,historical.devops_infraestructura_release_engineering,DEVELOPMENT,historical_capabilities,devops_infraestructura_release_engineering,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes backend, database or platform tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Observabilidad,36_ESPECIALISTA_EN_OBSERVABILIDAD.md,AG-DEV-0022,historical.especialista_en_observabilidad,DEVELOPMENT,historical_capabilities,especialista_en_observabilidad,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes backend, database or platform tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Rendimiento,37_ESPECIALISTA_EN_RENDIMIENTO.md,AG-DEV-0023,historical.especialista_en_rendimiento,DEVELOPMENT,historical_capabilities,especialista_en_rendimiento,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista AppSec / Ciberseguridad,38_ESPECIALISTA_APPSEC_CIBERSEGURIDAD.md,AG-TRV-0006,historical.especialista_appsec_ciberseguridad,TRANSVERSAL,historical_capabilities,especialista_appsec_ciberseguridad,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.",Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_2.",WAVE_2,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Criptografía Aplicada y Gestión de Claves,39_ESPECIALISTA_EN_CRIPTOGRAFIA_APLICADA_Y_GESTION_DE_CLAVES.md,AG-TRV-0007,historical.especialista_en_criptograf_a_aplicada_y_gesti_n_de_claves,TRANSVERSAL,historical_capabilities,especialista_en_criptograf_a_aplicada_y_gesti_n_de_claves,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.","Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_2.",WAVE_2,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en App Store / Play Store Release Management,40_ESPECIALISTA_EN_APP_STORE_PLAY_STORE_RELEASE_MANAGEMENT.md,AG-DEV-0024,historical.especialista_en_app_store_play_store_release_management,DEVELOPMENT,historical_capabilities,especialista_en_app_store_play_store_release_management,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Customer Success Manager,41_CUSTOMER_SUCCESS_MANAGER.md,AG-ADM-0004,historical.customer_success_manager,ADMINISTRATION,historical_capabilities,customer_success_manager,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.","Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_6.",WAVE_6,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Analista de Customer Success,42_ANALISTA_DE_CUSTOMER_SUCCESS.md,AG-ADM-0005,historical.analista_de_customer_success,ADMINISTRATION,historical_capabilities,analista_de_customer_success,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.","Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_6.",WAVE_6,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Retención y Expansión,43_ESPECIALISTA_EN_RETENCION_Y_EXPANSION.md,AG-ADM-0006,historical.especialista_en_retenci_n_y_expansi_n,ADMINISTRATION,historical_capabilities,especialista_en_retenci_n_y_expansi_n,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_6.",WAVE_6,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
